new_id,old_id
GB-CASC-2c51f438,GB-CASC-15e37c94
GB-CASC-8de1bdc4,GB-CASC-8de1bdc4
GB-CASC-5a9179fe,GB-CASC-cfc14c53
GB-CASC-a26c830f,GB-CASC-a26c830f
GB-CASC-f52a43b1,GB-CASC-f52a43b1
GB-CASC-7b143449,GB-CASC-5b744ebd
GB-CASC-0aeed448,GB-CASC-13975752
GB-CASC-940967ef,GB-CASC-0bb368f6
GB-CASC-0d9b6501,GB-CASC-337a6fa9
GB-CASC-3d092ecf,GB-CASC-89a4e703
GB-CASC-94860fdf,GB-CASC-ea2d6b3c
GB-CASC-0cf8f85a,GB-CASC-0cf8f85a
GB-CASC-3b2d799d,GB-CASC-3b2d799d
GB-CASC-42eafea8,GB-CASC-42eafea8
GB-CASC-9dd67f9c,GB-CASC-fb9292c5
GB-CASC-28f02212,GB-CASC-28f02212
GB-CASC-b9e6bd03,GB-CASC-b9e6bd03
GB-CASC-a6f99379,GB-CASC-2fe1a856
GB-CASC-526d5e6d,GB-CASC-cf9d91af
GB-CASC-3c9bac58,GB-CASC-08dd43a4
GB-CASC-36ec06c2,GB-CASC-36ec06c2
GB-CASC-7a540ba8,GB-CASC-7a540ba8
GB-CASC-00261745,GB-CASC-00261745
GB-CASC-0a7771ab,GB-CASC-b2047eb1
GB-CASC-8b54c0a3,GB-CASC-8b54c0a3
GB-CASC-cbea1584,GB-CASC-c29c6f41
GB-CASC-f9bae16e,GB-CASC-f2ffe529
GB-CASC-f92e080e,GB-CASC-f92e080e
GB-CASC-f28885c0,GB-CASC-23c1e424
GB-CASC-18f3c029,GB-CASC-18f3c029
GB-CASC-92556f9e,GB-CASC-3e241ecb
GB-CASC-2dd62545,GB-CASC-6be7e545
GB-CASC-97142091,GB-CASC-a0dc7cd8
GB-CASC-b246501e,GB-CASC-37938af1
GB-CASC-8a6483ae,GB-CASC-c807edef
GB-CASC-3c730f69,GB-CASC-3c730f69
GB-CASC-e9368041,GB-CASC-e9368041
GB-CASC-4588746a,GB-CASC-cfaa903c
GB-CASC-420c088f,GB-CASC-d1c62917
GB-CASC-cfe2f264,GB-CASC-7a5fecb9
GB-CASC-8c258fa5,GB-CASC-f842cf77
GB-CASC-b1fa86ff,GB-CASC-813dbe9f
GB-CASC-72313f59,GB-CASC-72313f59
GB-CASC-e6e727da,GB-CASC-e6e727da
GB-CASC-50ed3dbb,GB-CASC-50ed3dbb
GB-CASC-eba6a97e,GB-CASC-7217890a
GB-CASC-0d5fb07c,GB-CASC-332610cb
GB-CASC-3a3305f7,GB-CASC-c530b840
GB-CASC-61adf99f,GB-CASC-61adf99f
GB-CASC-69af4d5d,GB-CASC-f7915adf
GB-CASC-35ecc969,GB-CASC-f7915adf
GB-CASC-44538322,GB-CASC-44538322
GB-CASC-6958f3ec,GB-CASC-6e10e307
GB-CASC-ff475e19,GB-CASC-ff475e19
GB-CASC-6b69b5c4,GB-CASC-617706c0
GB-CASC-d1087bcb,GB-CASC-ecdbeca6
GB-CASC-b2adaab0,GB-CASC-b3f85bfd
GB-CASC-07da82c3,GB-CASC-07da82c3
GB-CASC-3c5a622f,GB-CASC-3da8ff01
GB-CASC-34f9830f,GB-CASC-34f9830f
GB-CASC-c97de839,GB-CASC-e50051a5
GB-CASC-be40ecbd,GB-CASC-be40ecbd
GB-CASC-ec388fb1,GB-CASC-ec388fb1
GB-CASC-bf09922b,GB-CASC-0d8be7fe
GB-CASC-1dc8a4e7,GB-CASC-e5f05c6f
GB-CASC-12f5bf42,GB-CASC-12f5bf42
GB-CASC-f017c6f9,GB-CASC-75228bee
GB-CASC-82f741fc,GB-CASC-c95ae16c
